BORO;STREET
Bronx;1011 MACE AVENUE
Brooklyn;81 SOUTH    6th STREET
Queens;160-26 NORTHERN BOULEVARD
Bronx;2310 GRAND CONCOURSE
Manhattan;1 NEW YORK PLZ
Queens;86-01 23rd AVENUE
Bronx;3969 LACONIA AVENUE
Manhattan;20A E 40TH ST
Brooklyn;1107 MANHATTAN AVENUE
Manhattan;1 WEST  137th STREET
Brooklyn;250 KINGSTON AVENUE
Brooklyn;2616 OCEAN PARKWAY
Queens;5615 MYRTLE AVENUE
Brooklyn;752 METROPOLITAN AVENUE
Bronx;2370 UNIVERSITY AVENUE
Manhattan;12 EAST   22nd STREET
Manhattan;62 BAYARD STREET
Manhattan;1707 2nd AVENUE
Brooklyn;393 NEW LOTS AVENUE
Manhattan;56 MOTT STREET
Manhattan;3 HANOVER SQUARE
Manhattan;75 9th AVENUE
Manhattan;265 LAFAYETTE STREET
Staten Island;1 CORSON AVENUE
Brooklyn;229 PROSPECT PARK WEST
Brooklyn;354 MELROSE STREET
Queens;17514 HORACE HARDING EXPY
Queens;21-69 STEINWAY STREET
Manhattan;1109 1st AVENUE
Manhattan;12 1st AVENUE
Manhattan;3612 BROADWAY
Manhattan;132 WEST   58th STREET
Manhattan;39 EAST BROADWAY
Bronx;155 WEST  169th STREET
Bronx;410 EAST TREMONT AVENUE
Manhattan;128 EAST   63rd STREET
Queens;95-02 ROOSEVELT AVENUE
Brooklyn;387A FLATBUSH AVENUE
Manhattan;2446 BROADWAY
Brooklyn;507 PENNSYLVANIA AVENUE
Brooklyn;100 KINGSTON AVENUE
Bronx;145 WEST KINGSBRIDGE ROAD
Brooklyn;505 UTICA AVENUE
Brooklyn;71 LAFAYETTE AVENUE
Manhattan;75 9th AVENUE
Brooklyn;216 WYCKOFF AVENUE
Manhattan;9 CHATHAM SQUARE
Brooklyn;948 3rd AVENUE
Manhattan;150 ALLEN STREET
Manhattan;1700 1st AVENUE
Manhattan;1392 LEXINGTON AVENUE
Queens;11445 LEFFERTS BLVD
Manhattan;2232 3rd AVENUE
Manhattan;10 EAST   39th STREET
Queens;6216 WOODHAVEN BLVD
Staten Island;1899 VICTORY BOULEVARD
Brooklyn;234 KINGS HIGHWAY
Brooklyn;5507 5th AVENUE
Queens;15212 ROCKWAY BOULEVARD
Manhattan;37 KENMARE STREET
Manhattan;120 MACDOUGAL STREET
Manhattan;885 9th AVENUE
Brooklyn;1120 CORTELYOU ROAD
Queens;11106 FARMERS BOULEVARD
Staten Island;1845 RICHMOND AVENUE
Brooklyn;5425 5th AVENUE
Manhattan;188 SUFFOLK STREET
Queens;10014 NORTHERN BLVD
Queens;78-01 ROOSEVELT AVENUE
Bronx;1802 NEREID AVENUE
Brooklyn;395 FLATBUSH AVENUE EXTENSION
Brooklyn;2036 FLATBUSH AVENUE
Manhattan;185 BLEECKER STREET
Manhattan;55 BROAD STREET
Bronx;2107 WILLIAMSBRIDGE ROAD
Manhattan;189 SPRING STREET
Brooklyn;296 KNICKERBOCKER AVENUE
Queens;2302 COLLEGE POINT BLVD
Brooklyn;1082 NOSTRAND AVENUE
Queens;8920 101ST AVE
Manhattan;3436 WEST   46th STREET
Manhattan;411 WEST  116th STREET
Manhattan;844 2nd AVENUE
Brooklyn;2826 FORT HAMILTON PARKWAY
Queens;15702 45TH AVE
Manhattan;603 FORT WASHINGTON AVENUE
Brooklyn;1402 86th STREET
Manhattan;261 1st AVENUE
Manhattan;18 9th AVENUE
Queens;3550 31st STREET
Manhattan;1266 MADISON AVENUE
Brooklyn;1115 KINGS HIGHWAY
Queens;3514 30TH AVE
Manhattan;2549 AMSTERDAM AVENUE
Manhattan;145 1st AVENUE
Queens;82-79 BROADWAY
Brooklyn;69 KINGSLAND AVENUE
Queens;150-19 LIBERTY AVENUE
Manhattan;19 WEST   45th STREET
Brooklyn;905 LORIMER STREET
Queens;66-07 FRESH POND ROAD
Brooklyn;2117 CORTELYOU ROAD
Queens;1017A 154TH ST
Manhattan;322 EAST   59th STREET
Queens;3636 PRINCE ST
Manhattan;1274 AMSTERDAM AVENUE
Brooklyn;176 GRAHAM AVENUE
Brooklyn;2616 OCEAN PARKWAY
Queens;40-30 UNION STREET
Manhattan;11 PARK PLACE
Manhattan;1065 AVENUE OF THE AMERICAS
Brooklyn;383 CARROLL STREET
Queens;87-81 SUTPHIN BOULEVARD
Manhattan;27 WAVERLY PLACE
Manhattan;1236 2nd AVENUE
Brooklyn;3209 CHURCH AVENUE
Queens;74-13 ROOSEVELT AVENUE
Manhattan;3898 BROADWAY
Manhattan;2 EAST   61st STREET
Queens;985 WYCKOFF AVENUE
Bronx;254 EAST  204th STREET
Brooklyn;9401 5th AVENUE
Manhattan;732 8th AVENUE
Queens;68-06 ROOSEVELT AVENUE
Queens;37-20 PRINCE STREET
Bronx;760 GRAND CONCOURSE
Brooklyn;156 5th AVENUE
Bronx;1160 CASTLE HILL AVENUE
Brooklyn;2702 CHURCH AVENUE
Manhattan;629 2nd AVENUE
Queens;69-32 GRAND AVENUE
Brooklyn;218 REMSEN AVENUE
Brooklyn;627629 KINGS HIGHWAY
Queens;9534 QUEENS BLVD
Queens;8130 BROADWAY
Manhattan;169 THOMPSON STREET
Manhattan;62 WEST   48th STREET
Queens;3018B ASTORIA BLVD
Queens;4206 77TH ST
Queens;256-01 HILLSIDE AVENUE
Staten Island;4000 HYLAN BOULEVARD
Manhattan;170 WEST   23rd STREET
Manhattan;840 2nd AVENUE
Manhattan;236 WEST   54th STREET
Brooklyn;393403 LEWIS AVENUE
Manhattan;250 WEST   72nd STREET
Queens;4702 37TH ST
Bronx;352 EAST GUN HILL ROAD
Brooklyn;701 UTICA AVENUE
Queens;136-20 ROOSEVELT AVENUE
Brooklyn;2031 BATH AVENUE
Bronx;1723 UNIVERSITY AVENUE
Manhattan;89 EAST   42nd STREET
Manhattan;174 5th AVENUE
Manhattan;94 GREENWICH STREET
Manhattan;68 CLINTON STREET
Brooklyn;286 KINGS HIGHWAY
Queens;8302 ATLANTIC AVENUE
Brooklyn;1429 MYRTLE AVENUE
Staten Island;2944 VICTORY BOULEVARD
Manhattan;1000S 8th AVENUE
Manhattan;55 GRAND STREET
Brooklyn;8530 3rd AVENUE
Manhattan;1659 1st AVENUE
Manhattan;1020 LEXINGTON AVENUE
Manhattan;167 WEST   32nd STREET
Brooklyn;988 MANHATTAN AVENUE
Bronx;511 EAST  163rd STREET
Manhattan;130 WEST    3rd STREET
Brooklyn;2728 CHURCH AVENUE
Manhattan;363 WEST   46th STREET
Queens;9705 64th AVENUE
Brooklyn;81 WASHINGTON STREET
Manhattan;265 WEST   37th STREET
Manhattan;225 WEST BROADWAY
Brooklyn;636 DEGRAW STREET
Queens;15924 HILLSIDE AVE
Queens;9541 ROOSEVELT AVE
Manhattan;505 EAST    6th STREET
Manhattan;54 WEST   55th STREET
Bronx;415 EAST  138th STREET
Manhattan;358 WEST   46th STREET
Manhattan;1000S 8th AVENUE
Manhattan;231 SULLIVAN STREET
Manhattan;235 EAST   84th STREET
Brooklyn;611 VANDERBILT AVENUE
Manhattan;327 BOWERY
Queens;13430 ATLANTIC AVENUE
Brooklyn;1025 MANHATTAN AVENUE
Manhattan;118 GREENWICH AVENUE
Manhattan;18A WEST   14th STREET
Brooklyn;1337 BUSHWICK AVENUE
Queens;10815 101ST AVE
Brooklyn;5604 8th AVENUE
Staten Island;260 PAGE AVENUE
Bronx;211 WEST  231st STREET
Brooklyn;582 NOSTRAND AVENUE
Queens;19002 HORACE HARDING EXPRESSWAY
Brooklyn;63 FLUSHING AVENUE
Queens;194-03 NORTHERN BOULEVARD
Queens;117-10 JAMAICA AVENUE
Queens;10203A 44TH AVENUE
Bronx;217 EAST FORDHAM ROAD
Bronx;10 EAST CLARKE PLACE
Manhattan;1221 6th AVENUE
Manhattan;3855 10th AVENUE
Manhattan;472 9th AVENUE
Manhattan;27 RUTGERS STREET
Manhattan;409 WEST  125th STREET
Staten Island;4060 HYLAN BOULEVARD
Manhattan;1335 AVENUE OF THE AMERICAS
Brooklyn;2120 86th STREET
Brooklyn;423 HEGEMAN AVENUE
Manhattan;304 310 W 14TH ST
Manhattan;228 WEST   52nd STREET
Manhattan;425 LEXINGTON AVENUE
Brooklyn;5017 6th AVENUE
Manhattan;137 RIVINGTON STREET
Manhattan;127 STANTON STREET
Queens;34-37 BELL BOULEVARD
Bronx;4143 WHITE PLAINS ROAD
Queens;7019 AUSTIN ST
Manhattan;225 LIBERTY STREET
Brooklyn;91 WYCKOFF AVENUE
Manhattan;2492 7th AVENUE
Bronx;15 EAST  167th STREET
Bronx;292 EAST BURNSIDE AVENUE
Manhattan;1709 AMSTERDAM AVENUE
Queens;8000 UTOPIA PARKWAY
Brooklyn;407 NEW LOTS AVENUE
Brooklyn;278 SMITH STREET
Manhattan;1477 YORK AVENUE
Brooklyn;4910 3rd AVENUE
Queens;12609 LIBERTY AVE
Manhattan;128 EAST    4th STREET
Bronx;3007 EAST TREMONT AVENUE
Manhattan;55 EAST HOUSTON STREET
Manhattan;30 ROCKEFELLER  CENTER
Brooklyn;1108 BEDFORD AVENUE
Brooklyn;319 9th STREET
Manhattan;101 LEXINGTON AVENUE
Brooklyn;192 AVENUE U
Manhattan;3147 BROADWAY
Queens;9017 63RD DR
Manhattan;132 EAST   56th STREET
Manhattan;18 9th AVENUE
Manhattan;1659 1st AVENUE
Brooklyn;1643 BROADWAY
Queens;44-02 23rd STREET
Bronx;573 GRAND CONCOURSE
Manhattan;120 EAST   34th STREET
Manhattan;411 8th AVENUE
Manhattan;28 WEST   32nd STREET
